S 	L 	M 	s1	l1	m1	s2	l2	m2	I
0	0	0	1	1	-1	-1	1	-1	0.0
0	0	0	1	1	-1	-1	1	0	0.0
0	0	0	1	1	-1	-1	1	1	0.2820947917738781
0	0	0	1	1	0	-1	1	-1	0.0
0	0	0	1	1	0	-1	1	0	-0.2820947917738781
0	0	0	1	1	0	-1	1	1	0.0
0	0	0	1	1	1	-1	1	-1	0.2820947917738781
0	0	0	1	1	1	-1	1	0	0.0
0	0	0	1	1	1	-1	1	1	0.0
0	0	0	1	2	-2	-1	2	-2	0.0
0	0	0	1	2	-2	-1	2	-1	0.0
0	0	0	1	2	-2	-1	2	0	0.0
0	0	0	1	2	-2	-1	2	1	0.0
0	0	0	1	2	-2	-1	2	2	-0.28209479177387814
0	0	0	1	2	-1	-1	2	-2	0.0
0	0	0	1	2	-1	-1	2	-1	0.0
0	0	0	1	2	-1	-1	2	0	0.0
0	0	0	1	2	-1	-1	2	1	0.28209479177387814
0	0	0	1	2	-1	-1	2	2	0.0
0	0	0	1	2	0	-1	2	-2	0.0
0	0	0	1	2	0	-1	2	-1	0.0
0	0	0	1	2	0	-1	2	0	-0.28209479177387814
0	0	0	1	2	0	-1	2	1	0.0
0	0	0	1	2	0	-1	2	2	0.0
0	0	0	1	2	1	-1	2	-2	0.0
0	0	0	1	2	1	-1	2	-1	0.28209479177387814
0	0	0	1	2	1	-1	2	0	0.0
0	0	0	1	2	1	-1	2	1	0.0
0	0	0	1	2	1	-1	2	2	0.0
0	0	0	1	2	2	-1	2	-2	-0.28209479177387814
0	0	0	1	2	2	-1	2	-1	0.0
0	0	0	1	2	2	-1	2	0	0.0
0	0	0	1	2	2	-1	2	1	0.0
0	0	0	1	2	2	-1	2	2	0.0
0	0	0	1	3	-3	-1	3	-3	0.0
0	0	0	1	3	-3	-1	3	-2	0.0
0	0	0	1	3	-3	-1	3	-1	0.0
0	0	0	1	3	-3	-1	3	0	0.0
0	0	0	1	3	-3	-1	3	1	0.0
0	0	0	1	3	-3	-1	3	2	0.0
0	0	0	1	3	-3	-1	3	3	0.2820947917738781
0	0	0	1	3	-2	-1	3	-3	0.0
0	0	0	1	3	-2	-1	3	-2	0.0
0	0	0	1	3	-2	-1	3	-1	0.0
0	0	0	1	3	-2	-1	3	0	0.0
0	0	0	1	3	-2	-1	3	1	0.0
0	0	0	1	3	-2	-1	3	2	-0.2820947917738781
0	0	0	1	3	-2	-1	3	3	0.0
0	0	0	1	3	-1	-1	3	-3	0.0
0	0	0	1	3	-1	-1	3	-2	0.0
0	0	0	1	3	-1	-1	3	-1	0.0
0	0	0	1	3	-1	-1	3	0	0.0
0	0	0	1	3	-1	-1	3	1	0.2820947917738781
0	0	0	1	3	-1	-1	3	2	0.0
0	0	0	1	3	-1	-1	3	3	0.0
0	0	0	1	3	0	-1	3	-3	0.0
0	0	0	1	3	0	-1	3	-2	0.0
0	0	0	1	3	0	-1	3	-1	0.0
0	0	0	1	3	0	-1	3	0	-0.2820947917738781
0	0	0	1	3	0	-1	3	1	0.0
0	0	0	1	3	0	-1	3	2	0.0
0	0	0	1	3	0	-1	3	3	0.0
0	0	0	1	3	1	-1	3	-3	0.0
0	0	0	1	3	1	-1	3	-2	0.0
0	0	0	1	3	1	-1	3	-1	0.2820947917738781
0	0	0	1	3	1	-1	3	0	0.0
0	0	0	1	3	1	-1	3	1	0.0
0	0	0	1	3	1	-1	3	2	0.0
0	0	0	1	3	1	-1	3	3	0.0
0	0	0	1	3	2	-1	3	-3	0.0
0	0	0	1	3	2	-1	3	-2	-0.2820947917738781
0	0	0	1	3	2	-1	3	-1	0.0
0	0	0	1	3	2	-1	3	0	0.0
0	0	0	1	3	2	-1	3	1	0.0
0	0	0	1	3	2	-1	3	2	0.0
0	0	0	1	3	2	-1	3	3	0.0
0	0	0	1	3	3	-1	3	-3	0.2820947917738781
0	0	0	1	3	3	-1	3	-2	0.0
0	0	0	1	3	3	-1	3	-1	0.0
0	0	0	1	3	3	-1	3	0	0.0
0	0	0	1	3	3	-1	3	1	0.0
0	0	0	1	3	3	-1	3	2	0.0
0	0	0	1	3	3	-1	3	3	0.0
0	0	0	1	4	-4	-1	4	-4	0.0
0	0	0	1	4	-4	-1	4	-3	0.0
0	0	0	1	4	-4	-1	4	-2	0.0
0	0	0	1	4	-4	-1	4	-1	0.0
0	0	0	1	4	-4	-1	4	0	0.0
0	0	0	1	4	-4	-1	4	1	0.0
0	0	0	1	4	-4	-1	4	2	0.0
0	0	0	1	4	-4	-1	4	3	0.0
0	0	0	1	4	-4	-1	4	4	-0.28209479177387814
0	0	0	1	4	-3	-1	4	-4	0.0
0	0	0	1	4	-3	-1	4	-3	0.0
0	0	0	1	4	-3	-1	4	-2	0.0
0	0	0	1	4	-3	-1	4	-1	0.0
0	0	0	1	4	-3	-1	4	0	0.0
0	0	0	1	4	-3	-1	4	1	0.0
0	0	0	1	4	-3	-1	4	2	0.0
0	0	0	1	4	-3	-1	4	3	0.28209479177387814
0	0	0	1	4	-3	-1	4	4	0.0
0	0	0	1	4	-2	-1	4	-4	0.0
0	0	0	1	4	-2	-1	4	-3	0.0
0	0	0	1	4	-2	-1	4	-2	0.0
0	0	0	1	4	-2	-1	4	-1	0.0
0	0	0	1	4	-2	-1	4	0	0.0
0	0	0	1	4	-2	-1	4	1	0.0
0	0	0	1	4	-2	-1	4	2	-0.28209479177387814
0	0	0	1	4	-2	-1	4	3	0.0
0	0	0	1	4	-2	-1	4	4	0.0
0	0	0	1	4	-1	-1	4	-4	0.0
0	0	0	1	4	-1	-1	4	-3	0.0
0	0	0	1	4	-1	-1	4	-2	0.0
0	0	0	1	4	-1	-1	4	-1	0.0
0	0	0	1	4	-1	-1	4	0	0.0
0	0	0	1	4	-1	-1	4	1	0.28209479177387814
0	0	0	1	4	-1	-1	4	2	0.0
0	0	0	1	4	-1	-1	4	3	0.0
0	0	0	1	4	-1	-1	4	4	0.0
0	0	0	1	4	0	-1	4	-4	0.0
0	0	0	1	4	0	-1	4	-3	0.0
0	0	0	1	4	0	-1	4	-2	0.0
0	0	0	1	4	0	-1	4	-1	0.0
0	0	0	1	4	0	-1	4	0	-0.28209479177387814
0	0	0	1	4	0	-1	4	1	0.0
0	0	0	1	4	0	-1	4	2	0.0
0	0	0	1	4	0	-1	4	3	0.0
0	0	0	1	4	0	-1	4	4	0.0
0	0	0	1	4	1	-1	4	-4	0.0
0	0	0	1	4	1	-1	4	-3	0.0
0	0	0	1	4	1	-1	4	-2	0.0
0	0	0	1	4	1	-1	4	-1	0.28209479177387814
0	0	0	1	4	1	-1	4	0	0.0
0	0	0	1	4	1	-1	4	1	0.0
0	0	0	1	4	1	-1	4	2	0.0
0	0	0	1	4	1	-1	4	3	0.0
0	0	0	1	4	1	-1	4	4	0.0
0	0	0	1	4	2	-1	4	-4	0.0
0	0	0	1	4	2	-1	4	-3	0.0
0	0	0	1	4	2	-1	4	-2	-0.28209479177387814
0	0	0	1	4	2	-1	4	-1	0.0
0	0	0	1	4	2	-1	4	0	0.0
0	0	0	1	4	2	-1	4	1	0.0
0	0	0	1	4	2	-1	4	2	0.0
0	0	0	1	4	2	-1	4	3	0.0
0	0	0	1	4	2	-1	4	4	0.0
0	0	0	1	4	3	-1	4	-4	0.0
0	0	0	1	4	3	-1	4	-3	0.28209479177387814
0	0	0	1	4	3	-1	4	-2	0.0
0	0	0	1	4	3	-1	4	-1	0.0
0	0	0	1	4	3	-1	4	0	0.0
0	0	0	1	4	3	-1	4	1	0.0
0	0	0	1	4	3	-1	4	2	0.0
0	0	0	1	4	3	-1	4	3	0.0
0	0	0	1	4	3	-1	4	4	0.0
0	0	0	1	4	4	-1	4	-4	-0.28209479177387814
0	0	0	1	4	4	-1	4	-3	0.0
0	0	0	1	4	4	-1	4	-2	0.0
0	0	0	1	4	4	-1	4	-1	0.0
0	0	0	1	4	4	-1	4	0	0.0
0	0	0	1	4	4	-1	4	1	0.0
0	0	0	1	4	4	-1	4	2	0.0
0	0	0	1	4	4	-1	4	3	0.0
0	0	0	1	4	4	-1	4	4	0.0
0	0	0	1	5	-5	-1	5	-5	0.0
0	0	0	1	5	-5	-1	5	-4	0.0
0	0	0	1	5	-5	-1	5	-3	0.0
0	0	0	1	5	-5	-1	5	-2	0.0
0	0	0	1	5	-5	-1	5	-1	0.0
0	0	0	1	5	-5	-1	5	0	0.0
0	0	0	1	5	-5	-1	5	1	0.0
0	0	0	1	5	-5	-1	5	2	0.0
0	0	0	1	5	-5	-1	5	3	0.0
0	0	0	1	5	-5	-1	5	4	0.0
0	0	0	1	5	-5	-1	5	5	0.28209479177387814
0	0	0	1	5	-4	-1	5	-5	0.0
0	0	0	1	5	-4	-1	5	-4	0.0
0	0	0	1	5	-4	-1	5	-3	0.0
0	0	0	1	5	-4	-1	5	-2	0.0
0	0	0	1	5	-4	-1	5	-1	0.0
0	0	0	1	5	-4	-1	5	0	0.0
0	0	0	1	5	-4	-1	5	1	0.0
0	0	0	1	5	-4	-1	5	2	0.0
0	0	0	1	5	-4	-1	5	3	0.0
0	0	0	1	5	-4	-1	5	4	-0.28209479177387814
0	0	0	1	5	-4	-1	5	5	0.0
0	0	0	1	5	-3	-1	5	-5	0.0
0	0	0	1	5	-3	-1	5	-4	0.0
0	0	0	1	5	-3	-1	5	-3	0.0
