S 	L 	M 	s1	l1	m1	s2	l2	m2	I
2	2	-2	1	1	-1	1	1	-1	0.3784698783030241
2	2	-2	1	1	-1	1	1	0	0.0
2	2	-2	1	1	-1	1	1	1	0.0
2	2	-2	1	1	-1	1	3	-3	0.0
2	2	-2	1	1	-1	1	3	-2	0.0
2	2	-2	1	1	-1	1	3	-1	0.0275296327870529
2	2	-2	1	1	-1	1	3	0	0.0
2	2	-2	1	1	-1	1	3	1	0.0
2	2	-2	1	1	-1	1	3	2	0.0
2	2	-2	1	1	-1	1	3	3	0.0
2	2	-2	1	1	0	1	1	-1	0.0
2	2	-2	1	1	0	1	1	0	0.0
2	2	-2	1	1	0	1	1	1	0.0
2	2	-2	1	1	0	1	3	-3	0.0
2	2	-2	1	1	0	1	3	-2	-0.061558130307457264
2	2	-2	1	1	0	1	3	-1	0.0
2	2	-2	1	1	0	1	3	0	0.0
2	2	-2	1	1	0	1	3	1	0.0
2	2	-2	1	1	0	1	3	2	0.0
2	2	-2	1	1	0	1	3	3	0.0
2	2	-2	1	1	1	1	1	-1	0.0
2	2	-2	1	1	1	1	1	0	0.0
2	2	-2	1	1	1	1	1	1	0.0
2	2	-2	1	1	1	1	3	-3	0.10662180931146154
2	2	-2	1	1	1	1	3	-2	0.0
2	2	-2	1	1	1	1	3	-1	0.0
2	2	-2	1	1	1	1	3	0	0.0
2	2	-2	1	1	1	1	3	1	0.0
2	2	-2	1	1	1	1	3	2	0.0
2	2	-2	1	1	1	1	3	3	0.0
2	2	-2	1	2	-2	1	2	-2	0.0
2	2	-2	1	2	-2	1	2	-1	0.0
2	2	-2	1	2	-2	1	2	0	-0.2207281154418226
2	2	-2	1	2	-2	1	2	1	0.0
2	2	-2	1	2	-2	1	2	2	0.0
2	2	-2	1	2	-2	1	4	-4	0.0
2	2	-2	1	2	-2	1	4	-3	0.0
2	2	-2	1	2	-2	1	4	-2	0.0
2	2	-2	1	2	-2	1	4	-1	0.0
2	2	-2	1	2	-2	1	4	0	-0.015018645964405716
2	2	-2	1	2	-2	1	4	1	0.0
2	2	-2	1	2	-2	1	4	2	0.0
2	2	-2	1	2	-2	1	4	3	0.0
2	2	-2	1	2	-2	1	4	4	0.0
2	2	-2	1	2	-1	1	2	-2	0.0
2	2	-2	1	2	-1	1	2	-1	0.27033562735930283
2	2	-2	1	2	-1	1	2	0	0.0
2	2	-2	1	2	-1	1	2	1	0.0
2	2	-2	1	2	-1	1	2	2	0.0
2	2	-2	1	2	-1	1	4	-4	0.0
2	2	-2	1	2	-1	1	4	-3	0.0
2	2	-2	1	2	-1	1	4	-2	0.0
2	2	-2	1	2	-1	1	4	-1	0.03358271330641406
2	2	-2	1	2	-1	1	4	0	0.0
2	2	-2	1	2	-1	1	4	1	0.0
2	2	-2	1	2	-1	1	4	2	0.0
2	2	-2	1	2	-1	1	4	3	0.0
2	2	-2	1	2	-1	1	4	4	0.0
2	2	-2	1	2	0	1	2	-2	-0.2207281154418226
2	2	-2	1	2	0	1	2	-1	0.0
2	2	-2	1	2	0	1	2	0	0.0
2	2	-2	1	2	0	1	2	1	0.0
2	2	-2	1	2	0	1	2	2	0.0
2	2	-2	1	2	0	1	4	-4	0.0
2	2	-2	1	2	0	1	4	-3	0.0
2	2	-2	1	2	0	1	4	-2	-0.05816696570272856
2	2	-2	1	2	0	1	4	-1	0.0
2	2	-2	1	2	0	1	4	0	0.0
2	2	-2	1	2	0	1	4	1	0.0
2	2	-2	1	2	0	1	4	2	0.0
2	2	-2	1	2	0	1	4	3	0.0
2	2	-2	1	2	0	1	4	4	0.0
2	2	-2	1	2	1	1	2	-2	0.0
2	2	-2	1	2	1	1	2	-1	0.0
2	2	-2	1	2	1	1	2	0	0.0
2	2	-2	1	2	1	1	2	1	0.0
2	2	-2	1	2	1	1	2	2	0.0
2	2	-2	1	2	1	1	4	-4	0.0
2	2	-2	1	2	1	1	4	-3	0.08885150775955128
2	2	-2	1	2	1	1	4	-2	0.0
2	2	-2	1	2	1	1	4	-1	0.0
2	2	-2	1	2	1	1	4	0	0.0
2	2	-2	1	2	1	1	4	1	0.0
2	2	-2	1	2	1	1	4	2	0.0
2	2	-2	1	2	1	1	4	3	0.0
2	2	-2	1	2	1	1	4	4	0.0
2	2	-2	1	2	2	1	2	-2	0.0
2	2	-2	1	2	2	1	2	-1	0.0
2	2	-2	1	2	2	1	2	0	0.0
2	2	-2	1	2	2	1	2	1	0.0
2	2	-2	1	2	2	1	2	2	0.0
2	2	-2	1	2	2	1	4	-4	-0.12565500731085572
2	2	-2	1	2	2	1	4	-3	0.0
2	2	-2	1	2	2	1	4	-2	0.0
2	2	-2	1	2	2	1	4	-1	0.0
2	2	-2	1	2	2	1	4	0	0.0
